gene,average,median,max,min,growth_correlation
b3717,4.521290333108322,4.56927596864471,6.52850372801413,1.71782715649314,-0.13347924511452677
b3718,2.874528170335846,2.87339611213402,4.46818058337096,1.21685045277146,-0.08821451773793823
b3719,2.314896468848462,2.32489090515892,4.29350889294013,0.571313823095851,-0.19992269020188852
b3720,1.778583259956773,1.79363479637025,4.16725639575687,0.0,-0.25877100893780064
b3721,1.8048209481969835,1.82662295938321,3.22041087237337,0.0,-0.07701425662565081
b3722,1.417186100674484,1.38384126393949,3.23110383111646,0.0,-0.2846069220834806
b3723,1.5550559845192005,1.52899233458312,4.22539189096073,0.0,-0.4000774524676467
b3724,6.807006926287667,6.81072971000786,8.17377848450693,5.72879276240296,0.04396177835048514
b3725,6.9043466386754115,6.94834340342623,8.27213004656174,5.44366365152434,-0.08317428431667703
b3726,5.598117297839299,5.66442837413261,7.30676404826605,3.36768950467971,-0.11668464948268864
b3727,5.742605526176121,5.92106787415806,7.78812662954092,3.71042503433018,-0.14048201652617323
b3728,6.966056042278379,7.09888162188997,9.29388717411335,3.71853983115981,-0.2389114691555911
b3729,9.476319610086463,9.55804959727029,10.4988244437011,7.32123886128803,0.30256470222708914
b3730,8.92562472871468,9.01455870481318,9.9792098805239,7.17861301817249,0.2791290078670069
b3731,10.309995188689806,10.3526721428277,11.5938922446806,8.00029092996133,0.17138764284729666
b3732,11.422460056150829,11.4561362666964,12.5268255216267,8.92917069575025,0.12124728948868775
b3733,11.04363724270932,11.1587021845093,12.1790278095362,8.39980802886519,0.09702565256659652
b3734,11.529236435213901,11.6213982342814,12.9555215539182,9.31082735001197,0.035043996448515885
b3735,10.220990504288986,10.3755521643778,11.6441430600895,7.00895020118643,-0.12336284284512786
b3736,11.142841581906415,11.2357042551821,12.474124193082,8.3643083632978,-0.11923722399823997
b3737,9.429176498015845,9.24505999802054,11.8286113397776,6.49633213391303,-0.3403768857524154
b3738,10.183531164896607,10.2688091317877,11.5413270211828,7.74143357810985,-0.3055948701579026
b3739,8.874981208415948,8.98531301383771,10.6723197379434,6.54204994045299,-0.41349968340953497
b3740,5.869088266879139,5.84071823715338,7.83196051417771,3.5011403860107,0.22304423937863088
b3741,7.4497815441953,7.50284592756786,8.90085585323907,5.88819680169705,0.0864896172478654
b3742,8.693149758497116,8.78589260615112,10.2678093475956,7.06825308730183,-0.4754013542226324
b3743,4.680494474123405,4.73385322921836,5.82133184645421,3.22165336500141,0.19831371044367546
b3744,6.170883731600623,6.1865328920731,9.58771275004095,2.8770310448502,0.402839612907714
b3745,5.49869367775472,5.37015526546251,7.59221644890219,4.16631679747436,-0.07740143187006232
b3746,6.368350323657135,6.1012428603724,8.64396117496833,4.72171117319096,0.16733737247611757
b3747,5.375006414001191,5.40870004036592,6.06970826934324,4.00309225324136,0.04205488231139253
b3748,7.477416425860248,7.1450922228222,13.7626708000926,3.19218558191343,-0.16125037484616297
b3749,6.0725779131676365,5.82593630177067,12.3853778574095,3.29540139908757,-0.3224033762775638
b3750,6.093933403899643,5.89260903936289,12.3281283876749,3.60294652701157,-0.361684275475553
b3751,7.684344608446711,7.35911069462148,14.3845426221377,4.52883369602591,-0.23673447781126536
b3752,6.829379980709408,6.62691777598309,13.2467998618085,4.64665467393249,-0.14847706940253905
b3753,4.733532309509195,4.58358453761975,9.12227669876757,3.38467459478157,-0.26834490218209595
b3754,4.245411168696651,4.15024987921749,6.44359329677488,2.61535229618706,0.11224952228173526
b3755,6.755854335181265,6.66162991452491,9.19218729941189,0.0,0.42048390750408393
b3764,9.290227487891267,9.30002534106175,10.6713058734066,7.67584249443962,-0.07909503376253303
b3765,2.970323302906304,3.02786777763883,4.33470030579063,1.10290765846505,-0.16930338808845866
