Gene	42C glucose	Acetate	Fructose	Fumarate	Galactose 	Glucosamine	Glucose	Glycerol	Glycerol + AA	LB	Mannose	Osmotic-stress glucose	Pyruvate	Succinate	Xylose	Chemostat u=0.12	Chemostat u=0.20	Chemostat u=0.35	Chemostat u=0.5	pH6 glucose
oppF	1.0314565777223244	0.7460145083076177	1.0994162367814087	1.2178114718487099	0.9675917324742335	1.1850353832723453	1.053818614334453	1.0557655976741396	2.054400067584453	1.728113479552891	0.8783928288457279	0.5866456942848185	1.1559564125944044	1.1950644101050325	1.1183419743224496	1.2310823870455734	1.3127842845680053	1.3024217007790277	1.3263653977914667	0.7465299239604415
ycdX	1.7216493343496369	1.6036103364689986	1.65416091269757	1.7145615576724018	1.596514051788892	1.6325097741807861	1.6761620858002988	1.6807696589658032	1.5693860208528816	1.4246388189731187	1.591792688002798	1.814602215789258	1.8205924906491442	1.590996889333736	1.743513153588555	1.6200363708797807	1.6883049050884373	1.7037674630715278	1.6600634299654178	1.7542665620555828
ftsN	1.6674415167769236	1.5125473617388103	1.6801570795713467	1.6642836418553104	1.7058406412788054	1.6050388639505515	1.5338636140548425	1.5646894052162674	1.428905487559423	1.4962460266021766	1.6527310724104591	1.5272029024919036	1.6301647239961918	1.5464044904219534	1.600970994709701	1.7898279002478443	1.7224674815618073	1.6489905145876727	1.603361559008994	1.469987940416334
mrp	2.487717358847963	2.2679263502225897	2.372857453895428	2.295981974353719	2.286177743346542	2.337393900832796	2.416905300535093	2.3044502710690082	2.313158476586102	2.396976701430895	2.292491394364684	2.2441727392790023	2.3380329452629036	2.332588299006138	2.3370427317446594	2.1259347266093442	2.1394982442526365	2.1612323068159354	2.244994610404841	2.4351941124803034
mnmG	1.3751901796995825	1.119115014113722	1.29422869693766	1.2132058139375974	1.2162439786137418	1.2052922741613024	1.2198322253588771	1.220010055333549	1.2372435783376559	1.3134182291530367	1.220681761593178	1.1671591542641784	1.1947571600128684	1.297981817884698	1.3343200365177377	1.1956534889370805	1.213713647885944	1.3337311506322016	1.3403987616698352	1.1355700042771077
iscU	3.356138095243082	3.253544475492286	3.379839102930381	3.1818633643459666	3.3111131355864285	3.1318936549858325	3.272003732773262	3.2891228254840095	3.2580970248106143	3.0229334136701227	3.319202907699346	3.4214276268744936	3.2180431766597732	3.1586330635765854	3.414705405225209	3.003746538539141	3.151025890807337	3.2339780610629227	3.3502502312173625	3.1160247349541503
lldD	1.788773584819424	1.9024541606930054	1.70567810657243	1.8619981947380464	2.025744786526764	1.801736593531603	1.4669303022702305	1.7693844535218597	1.6078937431372144	2.0916970241053057	1.8608485248072197	1.5895423730832288	1.7191463599924974	1.9103973263490701	1.7341128539232962	2.0805431015225957	1.9564882932906145	1.9285993390878473	1.9109748111471172	1.633399691742281
nuoB	1.6698805876007699	1.8464616068585777	1.8299063073365507	2.0772165775250313	1.7528759666972824	2.0947442738431885	1.7820642788099166	2.048214317583458	2.1040884067074	2.187520645068077	1.879629880736183	1.4677409634732403	1.9591770146159824	1.8095163732268125	1.6713559156062416	1.9883731801012592	2.0549214124505837	2.0151110716531058	1.9850266631593567	1.6556917398225937
atpC	3.2762916273710543	3.2736666296377646	3.3946205479651796	3.4222235848256006	3.2702565951277074	3.393880038972125	3.3022861638992684	3.4140355667435727	3.4825316756010016	3.2666245211878797	3.3984008108558585	3.1883075064742887	3.48970281397224	3.4064346693458267	3.322634190217944	3.125187109750146	3.199661213697639	3.252476976584359	3.271721606625605	3.086360248112361
frdA	1.0461024720047447	1.442599903406147	1.1039467195193757	1.7045832072115839	1.2298013263092522	1.0683979341384158	0.8603485065187209	1.1215293050691366	1.5358536859442593	1.69065031825181	1.2461100539089585	0.8888145792260165	1.1871335316164813	1.6987620141301023	1.0518665828494664	1.5866691277739267	1.4407143017314479	1.403238234350516	1.2770057070988334	0.8010747980716223
