Gene	NH4_0.05_7.5_0.5	NH4_0.1_7.5_5.0	NH4_0.1_7.5_0.5	NH4_0.13_7.5_0.5	NH4_0.18_7.5_0.5	NH4_0.3_7.5_0.5	NH4_0.35_7.5_0.5	Gln_0.1_7.5_5.53	Gln_0.1_1.21_5.53	Gln_0.1_6.87_0.55	Phe_0.1_7.5_12.35	Phe_0.1_7.5_1.24	Ile_0.1_7.5_9.81	Ile_0.1_7.5_0.98
DSL1	-9.178671743960285	-9.196956453862734	-9.138187415270252	-9.07688630404735	-9.07428693512407	-9.167476460535097	-9.216072598864086	-9.08855424303238	-9.204178880545127	-9.140860866511003	-9.215066662950134	-9.22691901865502	-8.965958174772373	-9.059266506113003
FOL1	-9.56571357536376	-9.366247102732116	-9.20581394938244	-9.16484397983557	-9.06945918945639	-8.834824662186447	-8.728054543044815	-9.446360938894177	-9.486101242293381	-9.290423129444976	-9.398837654259383	-9.12076005225373	-9.16916226428365	-9.195662396377225
GIS2	-7.188439391955723	-6.865832781671582	-6.923965503906053	-6.949201597285015	-6.899438212307918	-6.815779291725856	-6.743916751821049	-6.872262335043012	-6.896675511000218	-7.060975726931344	-6.830969159417793	-6.960147766094811	-6.819887866874891	-7.059766000746141
TEX1	-9.357473289436685	-9.40209194331317	-9.320513014044073	-9.410387744466291	-9.398288306940065	-9.525106652651552	-9.650384016602343	-9.306824463958423	-9.323361856909342	-9.381819128948685	-9.470550199108862	-9.484439857960524	-9.266472841878025	-9.389756073718614
YNL247W	-9.411823410988298	-8.67561216580828	-8.666339593731667	-8.542692856049849	-8.40817688114057	-8.146135660211064	-8.103536967487274	-8.547980678868173	-8.650623199698165	-8.762784773781872	-8.544988837449765	-8.646423370956157	-8.528383206263937	-8.747841565890374
VPS75	-8.734194458235928	-8.660590662706676	-8.546363280671427	-8.5097490772315	-8.408587446850621	-8.393273870528184	-8.418538210457372	-8.631568779828896	-8.722823860003269	-8.598121491201896	-8.656949462084967	-8.488334463235306	-8.655294432143297	-8.63604151128189
CSL4	-8.453504031892132	-8.281918353729951	-8.310083381078753	-8.347686191727854	-8.348228560713588	-8.288621752560937	-8.302523467802985	-8.40227926838521	-8.289860744213605	-8.409967875981197	-8.461157351288142	-8.431672900716892	-8.300537632633294	-8.366244071459265
PDR16	-8.808085948422674	-8.633946508878752	-8.34584286246678	-8.252491479186885	-8.175476524590728	-8.143384745806728	-8.090764225453464	-8.675863255466972	-8.60012172297228	-8.420277704071268	-8.8587544080363	-8.312757543160224	-8.334194259094861	-8.44421082607903
JJJ1	-9.09441432530191	-8.784302398359118	-8.849417301277764	-8.833061185111356	-8.823869915398163	-8.788955405344659	-8.76560230819002	-8.825811925733431	-8.793930055936393	-8.924421163459515	-8.918391597959271	-8.834213977577782	-8.69313662615238	-8.882698447325055
CNM67	-9.158196302175943	-9.107898634774328	-8.890592393075272	-8.752497037817433	-8.714481946019834	-8.951886039891136	-8.989625507277392	-9.128543834914014	-9.289712716797274	-8.982459149135101	-9.137573894976274	-8.964262236447171	-8.937595051414826	-8.974954553687523
SQS1	-9.720615961207422	-9.703834223655425	-9.692339475314853	-9.666197584539535	-9.682276639314768	-9.782788836973536	-9.819637274057298	-9.782389089677906	-9.82609416059497	-9.757453023045974	-9.949620923584463	-9.791772014061264	-9.745173808249456	-9.814378532792881
ATG4	-9.327946089390373	-9.545574342797991	-9.468701109910855	-9.52795982795004	-9.642127548277927	-10.023441816972984	-10.177415721714327	-9.558119878668197	-9.662519368523705	-9.436575085286337	-9.810873037734224	-9.630117523079827	-9.699619609524515	-9.503994294589058
ALG9	-8.78410960064255	-8.676412774196168	-8.730436496083987	-8.703964312953646	-8.693981626501651	-8.780957361477816	-8.829309782286503	-8.67409951968465	-8.71989408205669	-8.774367279561275	-8.825888293225038	-8.782418237793598	-8.73268700744092	-8.756236440119851
UBP10	-8.939615826603655	-8.730681935540622	-8.774297155948366	-8.804484571175307	-8.80167899436249	-8.776065458095928	-8.798325111953693	-8.651175596910905	-8.78128469859118	-8.790862463207665	-8.764173446684831	-8.790858310598539	-8.747121004885685	-8.785600213058357
MRPL19	-8.49835830063587	-8.361287706607724	-8.569821696254431	-8.43850513248504	-8.367655047712864	-8.02822282125346	-8.026218180480576	-8.242229844670932	-8.30666767124496	-8.509196966739767	-8.114003688887259	-8.44480909483009	-8.484735319121617	-8.622320191313792
YNL181W	-8.924891042860727	-8.985398608541024	-8.729507735684225	-8.729489064976049	-8.759377778406174	-8.892592664107655	-8.90237811497049	-9.005443950869873	-9.007704538485259	-8.815656883832416	-9.107153096682882	-8.935223855490849	-8.917609046405687	-8.878120669872201
RHO5	-6.552690798921891	-7.180836399208384	-6.5664159346733655	-6.642728490071264	-6.9096396834248806	-7.380317800493974	-7.383308367663851	-7.515481701455762	-6.778622160226302	-6.643645073286727	-7.287452420935934	-6.998424472444309	-7.01145543794862	-6.758425269818415
